t Pi r1 r2
61300 3.146010 2.703593 0.429786
61400 3.145895 2.801345 0.852523
61500 3.146182 2.769421 0.747498
61600 3.145425 0.404262 0.794594
61700 3.145552 0.999273 0.778391
61800 3.145679 1.537860 0.177221
61900 3.145805 1.156011 0.806650
62000 3.145851 2.033733 0.524664
62100 3.145897 2.443835 0.259435
62200 3.145624 2.278815 0.727400
62300 3.145750 2.066634 0.626232
62400 3.145954 1.086282 0.214424
62500 3.145841 1.489474 0.052662
62600 3.145334 0.806135 0.949776
62700 3.145222 1.134444 0.539714
62800 3.145583 0.158509 0.439119
62900 3.145865 0.038353 0.613939
63000 3.145439 1.809521 0.015998
63100 3.144701 1.964623 0.139678
63200 3.144826 1.570974 0.514645
63300 3.144560 1.776963 0.270456
63400 3.144685 1.238867 0.563660
63500 3.144421 1.531220 0.156467
63600 3.144234 0.012177 0.063069
63700 3.143971 2.707565 0.600207
63800 3.143322 2.215989 0.158242
63900 3.143293 0.073023 0.966028
64000 3.143341 1.504907 0.231043
64100 3.143389 0.859706 0.233327
64200 3.143130 2.344522 0.238785
64300 3.142410 0.271199 0.892151
64400 3.142766 2.036672 0.711010
64500 3.142815 3.082680 0.295472
64600 3.142176 1.273782 0.107967
64700 3.141997 2.266269 0.971287
64800 3.141971 1.254417 0.136337
64900 3.142172 2.141955 0.232834
65000 3.142222 2.223816 0.521340
65100 3.141816 1.121814 0.341016
65200 3.142472 1.192544 0.075360
65300 3.141840 0.780816 0.711676
65400 3.142720 2.889469 0.987761
65500 3.142919 1.452518 0.341058
65600 3.142139 1.932099 0.361452
65700 3.142338 1.206950 0.862640
65800 3.142161 2.123969 0.794602
65900 3.142660 2.078782 0.847958
66000 3.142633 3.109462 0.874201
66100 3.142531 0.775669 0.103993
66200 3.142504 0.694878 0.606226
66300 3.142552 2.642110 0.603333
66400 3.142972 1.941224 0.514860
66500 3.142871 0.979543 0.867151
66600 3.142844 1.813892 0.169350
66700 3.143261 2.427231 0.760199
66800 3.143160 0.327717 0.452432
66900 3.143059 0.876765 0.371416
67000 3.142736 0.363472 0.643379
67100 3.142416 2.205213 0.704696
67200 3.142096 2.436637 0.235637
67300 3.141410 1.897790 0.557352
67400 3.141239 3.058949 0.259590
67500 3.141215 1.248989 0.056529
67600 3.141410 1.865253 0.866075
67700 3.141823 2.522058 0.528951
67800 3.141798 2.816328 0.749577
67900 3.142355 2.629242 0.837678
68000 3.142329 1.423616 0.350030
68100 3.142448 2.737526 0.792757
68200 3.142785 2.454904 0.130946
68300 3.142469 1.789866 0.280312
68400 3.142155 1.616920 0.598374
68500 3.142778 0.422458 0.362478
68600 3.142896 2.904047 0.605280
68700 3.142223 1.361520 0.208938
68800 3.142198 1.400909 0.578438
68900 3.142460 0.987732 0.837102
69000 3.142220 2.830462 0.056228
69100 3.141766 0.888252 0.457741
69200 3.142455 0.274597 0.411628
69300 3.141860 1.869495 0.841037
69400 3.141764 1.485386 0.140336
69500 3.141811 1.824099 0.810831
69600 3.141716 0.958948 0.730936
69700 3.141692 2.689397 0.481988
69800 3.141455 2.214925 0.501668
69900 3.141361 2.299804 0.650207
70000 3.141408 1.186298 0.547235
70100 3.141314 1.591528 0.939653
70200 3.141221 1.769225 0.405030
70300 3.141689 3.027765 0.245809
70400 3.142015 1.918216 0.817273
70500 3.142201 1.584972 0.834510
70600 3.142526 1.866080 0.165760
70700 3.142851 1.492394 0.977536
70800 3.143384 0.508385 0.027440
70900 3.142591 2.307370 0.576401
71000 3.142775 0.990472 0.963526
71100 3.143167 0.402012 0.408109
71200 3.142864 1.408716 0.622775
71300 3.142631 1.606159 0.865985
71400 3.142675 0.339887 0.036804
71500 3.142512 2.975212 0.039857
71600 3.142556 3.091292 0.931851
71700 3.142601 2.855890 0.947545
71800 3.142370 0.581626 0.524466
71900 3.142620 2.148843 0.465208
72000 3.142595 2.883024 0.772560
72100 3.142571 0.911204 0.280043
72200 3.142068 1.723965 0.284441
72300 3.142317 3.101948 0.404908
72400 3.142361 2.972471 0.512277
72500 3.142541 0.267353 0.154476
72600 3.142721 2.561854 0.725606
72700 3.142629 0.176739 0.819260
72800 3.142197 3.015777 0.903826
72900 3.142038 1.232621 0.359210
73000 3.142082 2.201596 0.143717
73100 3.142329 0.083724 0.198720
73200 3.141968 1.015393 0.693104
73300 3.142012 0.043248 0.752057
73400 3.142190 2.078381 0.350917
73500 3.142570 2.365129 0.163471
73600 3.142882 1.139157 0.699681
73700 3.142991 1.827122 0.413335
73800 3.143101 1.025367 0.763112
73900 3.142808 1.691299 0.837171
74000 3.142784 1.192694 0.524095
74100 3.142694 1.024892 0.985837
74200 3.142869 1.255084 0.196639
74300 3.142911 2.101945 0.811122
74400 3.142688 0.581285 0.853978
74500 3.142930 0.009129 0.425645
74600 3.143236 0.162972 0.796036
74700 3.143080 0.854500 0.426036
74800 3.142659 1.155108 0.764530
74900 3.143031 0.031846 0.066787
75000 3.142875 2.817207 0.926810
75100 3.143180 1.232497 0.388324
75200 3.142827 2.541362 0.438223
75300 3.142607 2.967252 0.902893
75400 3.142518 0.797877 0.596508
75500 3.142102 1.451129 0.434017
75600 3.142732 0.324262 0.253817
75700 3.142905 0.473000 0.180964
75800 3.143207 3.073594 0.766108
75900 3.143117 0.896208 0.366886
76000 3.142704 2.383147 0.540631
76100 3.143005 2.814681 0.172500
76200 3.142722 0.090744 0.753531
76300 3.142569 2.193794 0.976319
76400 3.142998 2.959321 0.836153
76500 3.142975 2.182461 0.351098
76600 3.143531 0.757809 0.072714
76700 3.142927 0.876919 0.823802
76800 3.143419 1.629432 0.289261
76900 3.143844 1.368495 0.216982
77000 3.143884 2.567990 0.878956
77100 3.143539 0.981350 0.581355
77200 3.143067 2.545966 0.942585
77300 3.143171 2.144804 0.021689
77400 3.143083 0.095164 0.673699
77500 3.142678 2.460627 0.189380
77600 3.143037 2.108354 0.847714
