# T U K E
491 -1340.118955 326.052897 -1014.066058
492 -1340.437423 326.862598 -1013.574825
493 -1340.758483 327.674808 -1013.083675
494 -1341.078290 328.485984 -1012.592306
495 -1341.392979 329.291636 -1012.101343
496 -1341.698759 330.088132 -1011.610627
497 -1341.991818 330.871624 -1011.120194
498 -1342.268329 331.638143 -1010.630186
499 -1342.524737 332.384271 -1010.140466
500 -1342.757653 333.106160 -1009.651493
501 -1342.963843 333.801003 -1009.162841
502 -1343.140560 334.465870 -1008.674690
503 -1343.285094 335.097893 -1008.187201
504 -1343.394989 335.694754 -1007.700235
505 -1343.468237 336.254684 -1007.213553
506 -1343.503292 336.776006 -1006.727287
507 -1343.498717 337.257562 -1006.241155
508 -1343.453690 337.698134 -1005.755556
509 -1343.367587 338.097787 -1005.269801
510 -1343.240292 338.456156 -1004.784136
511 -1343.072045 338.773459 -1004.298586
512 -1342.863222 339.050157 -1003.813065
513 -1342.614554 339.287078 -1003.327475
514 -1342.327414 339.485904 -1002.841510
515 -1342.003096 339.647463 -1002.355632
516 -1341.643129 339.773681 -1001.869447
517 -1341.249449 339.866761 -1001.382688
518 -1340.824021 339.928108 -1000.895913
519 -1340.369172 339.960444 -1000.408728
520 -1339.887228 339.966152 -999.921076
521 -1339.380583 339.947556 -999.433028
522 -1338.851780 339.907130 -998.944650
523 -1338.303380 339.847473 -998.455907
524 -1337.737971 339.771364 -997.966607
525 -1337.158181 339.681003 -997.477178
526 -1336.566355 339.579049 -996.987306
527 -1335.965010 339.467883 -996.497127
528 -1335.356459 339.349400 -996.007058
529 -1334.742696 339.226196 -995.516499
530 -1334.125908 339.099951 -995.025958
531 -1333.507836 338.972497 -994.535339
532 -1332.890208 338.845513 -994.044695
533 -1332.274368 338.720130 -993.554238
534 -1331.661786 338.597996 -993.063790
535 -1331.053503 338.479569 -992.573934
536 -1330.450356 338.366100 -992.084256
537 -1329.852862 338.258017 -991.594845
538 -1329.261751 338.155656 -991.106096
539 -1328.677102 338.059381 -990.617721
540 -1328.099034 337.968826 -990.130208
541 -1327.527420 337.884296 -989.643124
542 -1326.962013 337.805179 -989.156834
543 -1326.402427 337.731109 -988.671318
544 -1325.848092 337.661658 -988.186435
545 -1325.298389 337.595969 -987.702420
