# T U K E
1737 -1247.972452 376.433716 -871.538736
1738 -1247.556389 376.003690 -871.552699
1739 -1247.153369 375.589004 -871.564365
1740 -1246.765557 375.192585 -871.572971
1741 -1246.395673 374.816662 -871.579011
1742 -1246.045855 374.463580 -871.582275
1743 -1245.718534 374.136024 -871.582510
1744 -1245.416347 373.836312 -871.580035
1745 -1245.141223 373.566333 -871.574890
1746 -1244.895502 373.328434 -871.567067
1747 -1244.681047 373.124567 -871.556480
1748 -1244.499624 372.956103 -871.543521
1749 -1244.353085 372.824747 -871.528338
1750 -1244.242562 372.731963 -871.510599
1751 -1244.169197 372.678419 -871.490778
1752 -1244.134007 372.665180 -871.468827
1753 -1244.137514 372.692458 -871.445056
1754 -1244.180410 372.760983 -871.419427
1755 -1244.262979 372.870934 -871.392044
1756 -1244.385065 373.021852 -871.363213
1757 -1244.546583 373.213368 -871.333215
1758 -1244.747436 373.445449 -871.301987
1759 -1244.986994 373.717268 -871.269725
1760 -1245.264552 374.028365 -871.236186
1761 -1245.578972 374.376938 -871.202034
1762 -1245.929611 374.762587 -871.167024
1763 -1246.315423 375.183692 -871.131731
1764 -1246.735204 375.639215 -871.095990
1765 -1247.187143 376.127443 -871.059700
1766 -1247.670299 376.646940 -871.023359
1767 -1248.182602 377.195539 -870.987063
1768 -1248.722491 377.771498 -870.950994
1769 -1249.288147 378.373136 -870.915011
1770 -1249.877447 378.998072 -870.879375
1771 -1250.488792 379.644382 -870.844410
1772 -1251.119770 380.308922 -870.810849
1773 -1251.767913 380.990286 -870.777627
1774 -1252.430885 381.685209 -870.745676
1775 -1253.106038 382.391156 -870.714882
1776 -1253.790969 383.105504 -870.685465
1777 -1254.482920 383.825138 -870.657782
1778 -1255.178672 384.547037 -870.631635
1779 -1255.875733 385.268426 -870.607307
1780 -1256.571129 385.985732 -870.585397
1781 -1257.261715 386.696181 -870.565533
1782 -1257.944428 387.397118 -870.547310
1783 -1258.616516 388.084394 -870.532122
1784 -1259.274716 388.755934 -870.518782
1785 -1259.916452 389.408720 -870.507732
1786 -1260.539036 390.039793 -870.499243
1787 -1261.139928 390.646805 -870.493123
1788 -1261.716858 391.227989 -870.488869
1789 -1262.267839 391.780326 -870.487512
1790 -1262.791116 392.303361 -870.487755
1791 -1263.285221 392.795083 -870.490138
1792 -1263.749219 393.254761 -870.494457
1793 -1264.182442 393.681514 -870.500927
1794 -1264.584048 394.075254 -870.508794
1795 -1264.954327 394.436228 -870.518100
1796 -1265.293385 394.764132 -870.529253
1797 -1265.601710 395.060223 -870.541487
1798 -1265.880532 395.325478 -870.555054
1799 -1266.130465 395.560512 -870.569954
1800 -1266.352927 395.767066 -870.585861
1801 -1266.549509 395.946912 -870.602596
1802 -1266.722029 396.101335 -870.620693
1803 -1266.871986 396.232870 -870.639115
1804 -1267.001982 396.343686 -870.658296
1805 -1267.113974 396.435889 -870.678085
1806 -1267.210403 396.511374 -870.699029
1807 -1267.293562 396.573498 -870.720063
1808 -1267.365994 396.624125 -870.741869
1809 -1267.430178 396.666215 -870.763963
1810 -1267.488350 396.701751 -870.786599
1811 -1267.543248 396.733543 -870.809705
1812 -1267.597080 396.763574 -870.833506
1813 -1267.652104 396.794133 -870.857971
1814 -1267.710206 396.826684 -870.883522
1815 -1267.772965 396.863149 -870.909816
1816 -1267.841760 396.904505 -870.937255
1817 -1267.917595 396.951575 -870.966021
1818 -1268.000982 397.004846 -870.996136
1819 -1268.091829 397.063616 -871.028212
1820 -1268.189842 397.127611 -871.062232
1821 -1268.294203 397.196035 -871.098167
1822 -1268.403754 397.267303 -871.136451
1823 -1268.516848 397.339307 -871.177542
1824 -1268.631757 397.411132 -871.220625
1825 -1268.746278 397.479544 -871.266734
1826 -1268.858241 397.542712 -871.315529
1827 -1268.965234 397.598439 -871.366795
1828 -1269.064990 397.644072 -871.420918
1829 -1269.155384 397.677809 -871.477575
1830 -1269.234275 397.697517 -871.536758
1831 -1269.299506 397.701427 -871.598079
1832 -1269.349506 397.688074 -871.661432
1833 -1269.383048 397.655813 -871.727235
1834 -1269.398964 397.604431 -871.794533
1835 -1269.396561 397.533137 -871.863423
1836 -1269.375534 397.441535 -871.933999
